gene_symbol	ensembl_id	refinebio_organism	gene_name
AAK1	ENSG00000115977	Homo sapiens	AP2 associated kinase 1(AAK1)
ACOT13	ENSG00000112304	Homo sapiens	acyl-CoA thioesterase 13(ACOT13)
ADA2	ENSG00000093072	Homo sapiens	adenosine deaminase 2(ADA2)
ADGRE2	ENSG00000127507	Homo sapiens	adhesion G protein-coupled receptor E2(ADGRE2)
AHSA2P	ENSG00000293434	Homo sapiens	activator of HSP90 ATPase homolog 2, pseudogene(AHSA2P)
ARHGEF10L	ENSG00000074964	Homo sapiens	Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)
ASCC2	ENSG00000100325	Homo sapiens	activating signal cointegrator 1 complex subunit 2(ASCC2)
ATR	ENSG00000175054	Homo sapiens	ATR serine/threonine kinase(ATR)
AUTS2	ENSG00000158321	Homo sapiens	activator of transcription and developmental regulator AUTS2(AUTS2)
BTF3L4	ENSG00000134717	Homo sapiens	basic transcription factor 3 like 4(BTF3L4)
C1orf21	ENSG00000116667	Homo sapiens	chromosome 1 open reading frame 21(C1orf21)
CAPN3	ENSG00000092529	Homo sapiens	calpain 3(CAPN3)
CBLB	ENSG00000114423	Homo sapiens	Cbl proto-oncogene B(CBLB)
CCL4	ENSG00000275302	Homo sapiens	C-C motif chemokine ligand 4(CCL4)
CCL4	ENSG00000277943	Homo sapiens	C-C motif chemokine ligand 4(CCL4)
CCL4	ENSG00000275824	Homo sapiens	C-C motif chemokine ligand 4(CCL4)
CCNA2	ENSG00000145386	Homo sapiens	cyclin A2(CCNA2)
CD82	ENSG00000085117	Homo sapiens	CD82 molecule(CD82)
CD86	ENSG00000114013	Homo sapiens	CD86 molecule(CD86)
CD96	ENSG00000153283	Homo sapiens	CD96 molecule(CD96)
CD99	ENSG00000292348	Homo sapiens	CD99 molecule (Xg blood group)(CD99)
CD99	ENSG00000002586	Homo sapiens	CD99 molecule (Xg blood group)(CD99)
CDK10	ENSG00000185324	Homo sapiens	cyclin dependent kinase 10(CDK10)
CDKN2C	ENSG00000123080	Homo sapiens	cyclin dependent kinase inhibitor 2C(CDKN2C)
CEP78	ENSG00000148019	Homo sapiens	centrosomal protein 78(CEP78)
CHEK1	ENSG00000149554	Homo sapiens	checkpoint kinase 1(CHEK1)
CIITA	ENSG00000179583	Homo sapiens	class II major histocompatibility complex transactivator(CIITA)
CKAP4	ENSG00000136026	Homo sapiens	cytoskeleton associated protein 4(CKAP4)
CPQ	ENSG00000104324	Homo sapiens	carboxypeptidase Q(CPQ)
CSF2RA	ENSG00000198223	Homo sapiens	colony stimulating factor 2 receptor subunit alpha(CSF2RA)
CSF2RA	ENSG00000292357	Homo sapiens	colony stimulating factor 2 receptor subunit alpha(CSF2RA)
CXCR5	ENSG00000160683	Homo sapiens	C-X-C motif chemokine receptor 5(CXCR5)
CYP19A1	ENSG00000137869	Homo sapiens	cytochrome P450 family 19 subfamily A member 1(CYP19A1)
DDAH2	ENSG00000228128	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DDAH2	ENSG00000213722	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DDAH2	ENSG00000226634	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DDAH2	ENSG00000225635	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DDAH2	ENSG00000227317	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DDAH2	ENSG00000206395	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DDAH2	ENSG00000233076	Homo sapiens	DDAH family member 2, ADMA-independent(DDAH2)
DGKE	ENSG00000153933	Homo sapiens	diacylglycerol kinase epsilon(DGKE)
DHCR7	ENSG00000172893	Homo sapiens	7-dehydrocholesterol reductase(DHCR7)
DHRS9	ENSG00000073737	Homo sapiens	dehydrogenase/reductase 9(DHRS9)
DIP2A	ENSG00000160305	Homo sapiens	disco interacting protein 2 homolog A(DIP2A)
DNAJA3	ENSG00000276726	Homo sapiens	DnaJ heat shock protein family (Hsp40) member A3(DNAJA3)
DNAJA3	ENSG00000103423	Homo sapiens	DnaJ heat shock protein family (Hsp40) member A3(DNAJA3)
DOCK5	ENSG00000147459	Homo sapiens	dedicator of cytokinesis 5(DOCK5)
EPG5	ENSG00000152223	Homo sapiens	ectopic P-granules 5 autophagy tethering factor(EPG5)
FAM89A	ENSG00000182118	Homo sapiens	family with sequence similarity 89 member A(FAM89A)
FBXW2	ENSG00000119402	Homo sapiens	F-box and WD repeat domain containing 2(FBXW2)
FGD2	ENSG00000146192	Homo sapiens	FYVE, RhoGEF and PH domain containing 2(FGD2)
FOLR3	ENSG00000110203	Homo sapiens	folate receptor gamma(FOLR3)
GGT1	ENSG00000100031	Homo sapiens	gamma-glutamyltransferase 1(GGT1)
GOLGA8A	ENSG00000175265	Homo sapiens	golgin A8 family member A(GOLGA8A)
GOLGA8A	ENSG00000291995	Homo sapiens	golgin A8 family member A(GOLGA8A)
GPSM2	ENSG00000121957	Homo sapiens	G protein signaling modulator 2(GPSM2)
GSR	ENSG00000104687	Homo sapiens	glutathione-disulfide reductase(GSR)
GZMB	ENSG00000100453	Homo sapiens	granzyme B(GZMB)
HPR	ENSG00000261701	Homo sapiens	haptoglobin-related protein(HPR)
IDNK	ENSG00000148057	Homo sapiens	IDNK gluconokinase(IDNK)
IDS	ENSG00000241489	Homo sapiens	iduronate 2-sulfatase(IDS)
IDS	ENSG00000010404	Homo sapiens	iduronate 2-sulfatase(IDS)
